No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,3,4,5,6,7,8,9,10,Sum
74, 0.09 ,D,Reinildo,SUN, 4.5 ,,,,, 2.39 , 2.02 , 1.51 , 2.35 , 2.09 , 2.54 , 2.53 , 1.82 , 17.25 
75, 0.06 ,D,Maitland-Niles,EVE, 4.5 ,,,,, 1.14 , 1.65 , 1.96 , 1.99 , 1.53 , 1.18 , 1.52 , 2.26 , 13.23 
76, 0.26 ,D,N.Williams,NOT, 5.0 ,,,,, 3.91 , 3.05 , 4.20 , 3.06 , 2.28 , 3.26 , 2.54 , 2.29 , 24.60 
77, 0.09 ,D,Udogie,TOT, 4.5 ,,,,, 1.59 , 2.37 , 2.26 , 1.51 , 2.65 , 1.46 , 2.38 , 2.01 , 16.22 
78, 0.11 ,D,Greaves,IPS, 4.0 ,,,,, 2.12 , 2.43 , 2.33 , 2.49 , 1.46 , 2.47 , 2.68 , 2.26 , 18.24 
79, 0.23 ,D,O'Reilly,MCI, 6.5 ,,,,, 4.69 , 2.53 , 3.90 , 2.35 , 3.95 , 2.94 , 3.22 , 3.05 , 26.62 
80, (0.01),D,Rodon,LEE, 4.5 ,,,,, -   , -   , -   , -   , -   , -   , 0.64 , 1.59 , 2.23 
81, (1.00),D,Dedic,NEW,  ,,,,, 1.25 , 1.13 , 1.38 , 0.85 , 0.94 , 0.71 , 0.96 , 0.68 , 7.89 
82, 0.25 ,D,Ajer,BRE, 4.5 ,,,,, 4.37 , 3.27 , 2.84 , 2.58 , 2.16 , 2.80 , 2.55 , 2.09 , 22.66 
83, 0.10 ,D,Giles,HUL, 4.0 ,,,,, 2.64 , 1.39 , 1.80 , 2.47 , 2.02 , 2.10 , 2.65 , 1.07 , 16.13 
84, 0.11 ,D,Hume,SUN, 4.5 ,,,,, 2.46 , 2.11 , 1.58 , 2.71 , 2.25 , 2.77 , 2.71 , 1.97 , 18.56 
85, 0.14 ,D,Disasi,CPL, 4.5 ,,,,, 2.39 , 3.18 , 2.55 , 2.71 , 2.14 , 2.42 , 2.14 , 1.96 , 19.50 
86, 0.06 ,D,Diomande,NOT, 5.4 ,,,,, 1.21 , 1.72 , 2.39 , 2.14 , 1.75 , 2.39 , 1.97 , 1.72 , 15.29 
87, 0.20 ,D,Boscagli,BRI, 4.5 ,,,,, 3.41 , 3.20 , 2.23 , 2.88 , 2.98 , 1.81 , 1.61 , 2.60 , 20.73 
